text,labels
"Vu à la télé, Vu en réalité, vécu en Tunisie : la libéralisation de l'audiovisuel une quête de qualité ""produit"" non pas des grilles et programmes ""clonés"". Le fibre optique, câble, le net mobile sont des solutions techniques qui exigent une concurrence à l'Internationale dans ""un monde qui deviendra un quartier"". En un, les chaînes radiophoniques tunisiennes privés fortes en audimat méritent places au TNT. En deux, priorité éducatif, loin des vocations propagandistes, une chaîne française et anglaise doivent figurer dans le bouquet de Télévision Numérique Terrestre  tunisien. L'EuroNews, Rai1, TV5 monde, BBC, DW se voient prioritaires comme chaînes du service public plus correctes en sureté informative. En trois, C'est la meilleure façon de limiter la ""pollution"" dite urbaine avec les antennes paraboliques non pas avec des taxations ""municipales"" non concluantes. Désormais, le citoyen tunisien devient exigeant et d'un goût développé à dire raffiné.   En quatre, à substituer une totale migration idéologique, Les pays du Golf ont bien développées des chaînes variées modérément contrôlés. Ainsi l'expérience de nos voisins du Grand Maghreb fréquence Hotbird à citer Canal Algérie, 2M et Medi1 (Maroc) démontre une bonne action motivant directement ou indirectement les affaires étrangères en vitrine l'économie lieu. En cinq, coté communication politique nationale, le lancement d'une chaine tunisienne franco-anglaise est de l'ordre du jour. En appui la réussite de RTCI et les JTF JTAnglais sur canal 7 et 21. L'attraction des étrangers, résidents, au quotidien du Bled d'un coté et nos expatriés à l'étranger sera bien renforcée. Télévision Tunisienne Chaine Internationale (TTCI). C'est l'idée. Le bon concept demandera une étude projet et certainement des essais. Autrement, à chacun ""ses"" télécommande[s] pour zaper. C'est tout. Bade Vu à la télé, Vu en réalité, vécu en Tunisie : la libéralisation de l'audiovisuel une quête de qualité ""produit"" non pas des grilles et programmes ""clonés"". Le fibre optique, câble, le net mobile sont des solutions techniques qui exigent une concurrence à l'Internationale dans ""un monde qui deviendra un quartier"". En un, les chaînes radiophoniques tunisiennes privés fortes en audimat méritent places au TNT. En deux, priorité éducatif, loin des vocations propagandistes, une chaîne française et anglaise doivent figurer dans le bouquet de Télévision Numérique Terrestre  tunisien. L'EuroNews, Rai1, TV5 monde, BBC, DW se voient prioritaires comme chaînes du service public plus correctes en sureté informative. En trois, C'est la meilleure façon de limiter la ""pollution"" dite urbaine avec les antennes paraboliques non pas avec des taxations ""municipales"" non concluantes. Désormais, le citoyen tunisien devient exigeant et d'un goût développé à dire raffiné.   En quatre, à substituer une totale migration idéologique, Les pays du Golf ont bien développées des chaînes variées modérément contrôlés. Ainsi l'expérience de nos voisins du Grand Maghreb fréquence Hotbird à citer Canal Algérie, 2M et Medi1 (Maroc) démontre une bonne action motivant directement ou indirectement les affaires étrangères en vitrine l'économie lieu. En cinq, coté communication politique nationale, le lancement d'une chaine tunisienne franco-anglaise est de l'ordre du jour. En appui la réussite de RTCI et les JTF JTAnglais sur canal 7 et 21. L'attraction des étrangers, résidents, au quotidien du Bled d'un coté et nos expatriés à l'étranger sera bien renforcée. Télévision Tunisienne Chaine Internationale (TTCI). C'est l'idée. Le bon concept demandera une étude projet et certainement des essais. Autrement, à chacun ""ses"" télécommande[s] pour zaper. C'est tout. Bader Kedidi.",neg
يا سامي يا ولد علاء راك قهرتنا إنت ونوفل ولد سمير الفافي قناة دعارة هيا وقناة 9 متع مهبول إن شاء الله تلقوه في صغاركم يا ولاد الحرام,neg
سامي الفهري ويني خدوجة بنتك ؟ ليها وحشة فما كان حاجة قديمة نحبوا علي حاجة جديدة نراو سلعتها كيفاه ولات عنا مدة ما رينا شيئ و أنت حبيبنا ترفه في الشباب التونسي تي حتي بساج ولا كابتير صغير و كان فما زوم ميسالش لولاد الكل يستناو,neg
nk,neg
Plutot fthaya7 tounsia 😠,neg
maw mridh yheb yesma3 fdhaya7 nas hhh,neg
البرنامج هذا بيت دعارة والله,neg
عايلة ممتدة كلها سلبيات في وقتنا هذا.. قبل دنيا رخيصة نلبسو بإلي جاب ربي و ناكلو بإلي كتب وتوة اعيادناو مناسباتنا كثرت و صغار تحلت عيناهم و احنا بيدنا ما نرضاوش لصغيرنا يتربى ناقص حاجة,neg
العائلة هي شرف الانسان و عرضه...لا تعطوا فرصة الى هذا المتصيهن لكشف اسرار خاصة.فهو بهذا الاسلوب الخبيث سوف يحاول ادارج مواضيع اكثر حساسية مثل العلاقات الحميمية و كل من مرة تقع المعاشرة بين الزوجين في الاسبوع...نعلة الله على اعلام العار و الدمار...,neg
العائلة الممتدة حسب وجهة نظري كلها سلبيات والسبب هو تدني المقدرة الشرائية للمواطن التونسي وخصوصا كي اكونو في ريف او شهرية شوي انا عشت مع خواتي 7 و بعد مرضت امي بالكونسار وبابا عاود عرس و جاب 3 اخرين . نسكنو بالريف بابا غير قادر باش اوفر لينا مصروف او ابسط ضروريات . هذا الي لزني نبطل وانا وصلت 2 جامعة و خواتي اصغر مني  باش ابطلو ومن فوق نسكنو في جبل . الحياة معادش ساهلة كيف قبل باش اجيب وكدس . الحياة صعيبة واخيب حاجة تشوف عايلتك محتاجة ابسط حاجات وانو احلامك ضاعت وانك ضحية ظروف قاصية انت ما خترتش تكون فيها . بعد امي بقالي بابا واخوتي الي ما نطلب من ربي كان نفرحهم ونوفر ليهم ابسط حاجات باش اعيشو . عمرنا ما نمدو يدنا ونقولو اعطونا ناقفو ونطيح  وربي ما يضعناش .,neg
بربي شكون الي يعطي فيكم المواضيع متاع كل جمعة مثلا جمتة سب تركيا وجمعة سب النهضة وجمعة سب المرزوقي حتى للجمعة لخرانية طحين مركز للباجي والشاهد,neg
آسامي الفهري نحب نعرف شكون الي يعطي في الاوامر للقنوات الكل مثلا القنوات الكل تعمل اسبوع سب للمرزوقي وبعد اسبوع عالنهضة والارهاب وبعد اسبوع سب سهام بن سدرين ثم كذا وكذا حتى لين وصلنا لاسبون الطحين للباجي والشاهد شكون بربي الى يقوللكم هكا,neg
"Pourqoui Sami Fehri est entrain ces derniers jours de ridiculiser des stars tunisien
es indirectement á travers des NULS comme Salem Monsieur. Est ce qu´il se rend compte qu´il est entrain de mettre en doute beaucoup de valeurs. Migalo et d´autres doivent ëtre traités autrement. Est ce que c´est ton niveau Sami Fehri? ou tu peux faire mieux sans Salem Monsieur ... l´humour neveut pas dïre utiliser des NULS pour ridiculiser les Stars et les gens qui travaillent et qui produisent.",neg
طول.حياتك.تجري.كان.علي.  الفلوس.تحب.تملك.الدنيا.... و.تتسحر.بالاخرة.ما.يكفيش.. الي.عندك,neg
عيشو كونت دراكول  ، مصو الدم يا  ولاد القحبة ، في الوقت  هذا ما  فما حد  بش يأخذ  حقو  وانا على يقين,neg
دائماً يلوجوا في السلبيات لضيوفهم شيء غريب,neg
هاذي إسمها البانون تاكل المال وماتخليش فلس واحد,neg
لا تنسى الاية القرانية.....ابناؤكم. واموالكم عدو لكم........!,neg
اللي يختار في هل مواضيع شيطان مكشوف علي حالو,neg
alah yn3lkm tounc ana mn laljiri,neg
بالله شكون مسؤول على البرمجة. Normalement غدوة  début de semaine و نهارة إثنين واحد ماذبيه يضحك و يتفرهد ببرنامج أمور جدية و نهارة الثلاثاء عدوا حكايات تونسية.ça sera bcp plus mieux,neg
"Les idées de Samy Elfehri sont les meilleures et uniques . Hhhhhhhhhhhhhh. (Je n'aime pas cette personne). Il a attendu longtemps après la mort de Jean-Luc Delarue Allah yarhemou pour faire copier de l'émission ""ça se dispute"" sur france2 et la coller dans sa chaîne el7iwar ettounsi. Ayayaya. En tout cas il n'a pas sorti de ses habitudes: regarder les tv étrangères et faire pareils, copier coller. Sinon, en comparant cette émission à celle de 3alaa Echabi c'est que les invités de samy ont passé par le salon de coiffure pour le maquiage, les cheveux et autres, et ceux de Alaa sont spontanés, naturelles...  en tout cas bon courage",neg
Falga brjoleya,neg
مواصلة للحملة العالمية المفبركة لضرب بعض الشخصيات السياسية واتهامهم بالتحرش خصوصا المفكر الاسلامي طارق رمضان ، انخرط قناة الخوار التونسي في هذه الحملة كعادتها !!!,neg
حكايات خمج وعهر و فساد...تفوه عليكم,neg
ملا فضايح,neg
Wla fama mawthou3 yasla7...lkola ken 3azne wl5maj,neg
Chfama 3lach almawdou3,neg
التحرش.موضوع ليس له نهاية,neg
يعطيك عصبة يا #سامي فهري مبون,neg
فيها نيك لحكاية ؟؟؟؟؟,neg
اللباس الفاضح من اكثر اسباب التحرش لا تقلي لا شعب مكبوت جنسيا لا كلام بلاتوات ....ان كان المناضر و العراء الي نشوف فيه حرية فالاغتصاب واجب يا سادة,neg
تحكي ع التحرش يا سامي ولبارح مرتي زينب عديتها ع الماكينه متاعك و تحت الزاوره 😡,neg
حتى هو الراجل مسيكن تلقاه وين ما يدور براسو يشوف كان في الترم و البزازل,neg
شعب منافق والكل كذب المرأة كي تحترم روحها والله لا من يتجرأ يتحرش بيها والقسم بيد الخالق,neg
"Berasmi c choquant...! Tawa sbab ta7aroch walet l ghalta mtaa l bneet... Se3a premièrement fama rjeel yet7archouu bihom, yelebsouu 9siir zedaa adhoukom? Ti ma 5alew la hayawanet la sghar mtaa 3ans laa 3zeyez 80 ans winti mazelet t9olii 3ree?! Deuxièmement, hiya ghalta w ma 7a9heech lebset akeaa, nemchii m3aak :) ...fama ghirek chefha w ma 3mal chay, dc l ghalta mil mentalité l fesda mte3ek, w quelque soit rajel wala mra raw 😉",neg
حكايات امي سيسي رجعيلي بعيبيصي نحفل بيه نهار العيد و نرد هولك ؟ سرك في ماجل و شبعة هجاجل و يسقصي فيهم راجل!!!,neg
Sade9ni ken choft mawghou3 3la nes fo9ara wma3andhomch 3cha 5ir meli 9alou ta7arech,neg
Bellehi ou brabi ya sami el fehri hedhi elli titkellim tawa ken jet mou7terma rou7ha meyssirich heka w dhaher min lebssetha,neg
حكايات كي ترمكم حاصيلوا يا قناة العار,neg
ولهي يا سامي حرم عليك,neg
Ech kther nik,neg
شنوة موضوع,neg
حكاية امك الفاجرة لعنة الله عليكم وعلي كل من يتابع فيكم,neg
قداش تحكي يا سامي الفهري,neg
Brabi a3mlouna barnamej elmouwaten fi mouwajahet esiyassi taw tchoufou inou echa3b mtha9ef w ya3ti el7ouloul 5ir mi eno5ba mta3 tunis.,neg
brabbi chnia hazzebla elli t3addiou fiha  men wa9tach echawadh wallat tetetra7 oumourhom fi itar 3a2ilimen wa9tach zina el ma7arem yo3tabar dhahra metfachia fi touneschnoua hal narcissisme 3and hallemmarek  a3tihom yodhrou mosli7ine whouma mo5arribine na3 zabbour ommkom el 9a7ba,neg
بربي اخطكم من التمنيك وبر شوف الشباب وين وصلو يسرقو ويخطفو يزيكم من ظربن لحنك وشوف حلا لشباب,neg
ok sami,neg
برنامج هذا و الا شنوا ?,neg
مصائب تونسية في حكم النهضة والنداء,neg
زبالة ريحتها طلعت,neg
كيما toute une histoire على tv5,neg
هكه تو باهي نرجع نتفرج على قناتي المفضله,neg
برنامج نسخة من برنامج اسمو احمر بالخط العريض,neg
هذا الممثل,neg
Brabi ach mezelet men 7keya ba3d had lkol,neg
Sami lfehri men akber lmout7aylin,neg
tar7 mouadab lil mawthou3 doun ibtithal aw moyou3a,neg
عندي ما نفضحك في حلة جديدة فكرة سامي #العهري :poop:,neg
فكرة سامي الفهرى,neg
Zina Elgasrinia etait tres tres vulgaire pas de Niveau .....,neg
9anet l fdhaye7,neg
شنيا موضوعو,neg
Sémi Fehri yétzabar 3lina ! barnemej Tefeh,neg
برنامج فاشل جدا....محاولة فاشلة لتغطية غياب برنامج علاء....,neg
هذا من اول حلقة الهايكا بش تبلوكيه .. نتصور هكا,neg
Billehi ya sami 3awdilna hikayet tounsia la boulimie,neg
w9ayet l ri2esa w9ayet,neg
أحمر بالخط العريض نسخة تونسية,neg
Uj,neg
😡😡😡😡😡😡😡😡😡😡,neg
👎👎👎👎,neg
كان برنامج بنفس الاسم على الوطنية الثانية تقدمه فاتن الوسلاتي قداش كان يعجبني خسارة ماعادش في  عوض امور جدية الماسط ان شالله موش تافه  بركة,neg
hata mharma wtetnebz bilalkeb,neg
"Ma fhemt chay,chnoua litbaddel wechnouwa lib9a?!!!!",neg
أسقط برنامج و طريقة طرح و تعامل رخيصة و مبتذلة هدفها اﻷسمى تجاري بحت لرفع نسب المشاهدة بشتى الوسائل و لو وصلت حد اﻹسفاف و اﻹثارة و اﻹستغناء و إستبطان الغرائز.,neg
"يا سامي انت رخيس ,,,, برنامجك هابط ,,,, شوهتو صورة المرأة التونسية ,,, شفت الحصة تاعك كاملة ,,,, عار كبير ,,حتى في برنامج دليلك ملك ,,, عندك غير القاحيب تعمل بيها حصص ,,, تسترزق من وراءهم ,,, شوهتوا صورة تونس و التونسيات ,,, علاش سيبوك من الحبس ,,, إن شاء الله تولي ليه باش يتهنى الخلق منك و من الفساد الدي تنشرة ,, ,, نحب نعرف منين جبتي القاحيب و عملتي بيهم حصص ,,, شحال خلصتيهم ,,, الهدرة تاعكم كاملة هابطة في الزبل ,,, قاعدين تفزدوا في عقلية النساء و البنات و تشجعوا في عقوق الوالدين ,,رخيسة لجات تهدر في أمها ,,, مهما كان راهي أهمها le linge sale se lave en famille, الكلام طويل ,,, نحبس هنا,,  تحدير مبقناش نشوفوك في التلفزة ,,و كلمة لطبيب روح تخدم ع روحك  في CABINET تاعك و ستر عار الناس راك طبيب مبقيناش نشوفوك في التلفزة , خماج .",neg
"يا سامي انت رخيس ,,,, برنامجك هابط ,,,, شوهتو صورة المرأة التونسية ,,, شفت الحصة تاعك كاملة ,,,, عار كبير ,,حتى في برنامج دليلك ملك ,,, عندك غير القاحيب تعمل بيها حصص ,,, تسترزق من وراءهم ,,, شوهتوا صورة تونس و التونسيات ,,, علاش سيبوك من الحبس ,,, إن شاء الله تولي ليه باش يتهنى الخلق منك و من الفساد الدي تنشرة ,, ,, نحب نعرف منين جبتي القاحيب و عملتي بيهم حصص ,,, شحال خلصتيهم ,,, الهدرة تاعكم كاملة هابطة في الزبل ,,, قاعدين تفزدوا في عقلية النساء و البنات و تشجعوا في عقوق الوالدين ,,رخيسة لجات تهدر في أمها ,,, مهما كان راهي أهمها le linge sale se lave en famille, الكلام طويل ,,, نحبس هنا,, تحدير مبقناش نشوفوك في التلفزة ,,و كلمة لطبيب روح تخدم ع روحك في CABINET تاعك و ستر عار الناس راك طبيب مبقيناش نشوفوك في التلفزة , خماج .",neg
برنامج خاص ***** خاطينى نحن الفقراء😕,neg
tfouh alikoum ya wled lahram ya foused,neg
"سامي و الله يا حليلو من ربي  زح ما يخافش هالهم هذاا  من فضيحة لفضيحة جايبهالنا  ""الذين ضل سعيهم في الحياة الدنيا وهم يحسبون أنهم يحسنون صنعا""  يحشرهم الله صما و بكما و عميانا .برا إتقي الله في خلقو يا بشر غلبت علينا راك",neg
أنا غلطة عمري تفرجت في حلقة الليلة أساور كوكايين قالت انغني في الكباري أما منسهرش ؟؟؟؟الحالة الثانية طلقت راجلها لا طاح لا دزوه وشويا لاخر هرب عليها والغريب في الأمر انه راجلها الأول     قبل يرجعها ؟؟؟؟ قعد ضحكة في عايلتو  أه يا راسي,neg
سامي الفهري يقلها الي العباد مش فاهمين وقاعدين يقولو خرجت بتدخلات ههههه لا يا سيدي سامحنا أحنا غالطين فيكم انتم ملايكة تشمو الكوكا وتشدو شهرينوالزوالي يشرب كعبتين بيرا يشد 6 شهر حبس انتي يا أساور مرا مناضلة بربي سامحنا كان فهمناك بالغالط ///,neg
سامي الكلاب المنافق في13جانفي بيضلنا بن علي وتو كل مرة اجبلنا صعلوك يستهبل فينا ...وجيبها مهفةومخالط .ً.ولد حومة عربي ...وهو ينتمي الى بني صهيون  بالله تكلمش على القدس كان يتكلم وقفوا تمويلوا وتفلس القناة ...الناس الكل تبرتاجي الفهري صهيوني,neg
بلاد فيها سامى الفهرى و بولحناك راس البهيم الورتانى يقدمان فى برامج و يتحكروا فى الاعلام *** **** الصباح البكرى  .   قتلو شهرين و قانون جديد و هكا الزوالى اللى يشكوا فيه عندوا زطلة بمجرد شك **** عام حبس على خاطر معندوش الباكو كيفها و كيف الفهرى. الباكو اللى يتحط على طاولة القاضى و الباكو اللى يتفاهمو فيه قداش باى كل واحد..,neg
بربي سامي الفهري حقو يولي يجيب ملاحف و غطاوات على ماياتي....الضحايا الكل جايين عرايا...,neg
Belehi entom eli t3adou fel bramej fi tounisia fi9ou 7esou bel 3bed b'awled lebled t3adoulhom fi 5wet'hom tmesoulhom fi 3aylet'hom masitoulna chrafna w tounes masha char w chraf 7esou b'rwe7kom b'rwe7na bina b'bledna w nadhfou yehdikom rabi yezou ma 3ad t3adou chai rakom kedheb w *** w 5iyena,neg
Ghaltet omri netfarej fe lhiwar meli khrajt me l7abbes wenti tchoula9 fe nssa nhar lahad ma yhemek fe had we nhar lethnine tkharej lkhonar ya wilek men rabi we romdhane ouled moufida lundi   torfa3 la3mel lrabi sobhanou we romdhane nzel feeh l9orene wenti makech feya9 ya *** sayeb nssa tounes we telha fe kofrek wa7dek,neg
تشوكيت في قصة الاعب خالد القربي والله خسارة ايروح كاريارو مازال صغير مسكين نحنة في الجزائر نعرفوه كي لعب مع المنتخب الوطني التونسي في كأس أفريقيا بقا في ذهني تعليق الشوالي كي قالو يزي القربي تحية الاخوانة التوانسة,neg
Brabii oskooot ya sami .. tjib des invites w twali ta7ki fi blassethomm,neg
الحلقة القادمة جيب العاهرات متع المخور كيف يعيشون بعد ما غلاق,neg
برجولية وجود أساور ليوم يوري ضعف القضاء قدام قوة إلي يصير في بيوت نوم أثرياء تونس.   #أساور  #حلبودة حصة متاع #تنظيف بإمضاء #سامي,neg
Ya wel la7ram rabi ella mayti7 fik 3la 9rib ya zeni ya sa9et ya dayouth,neg
جاي تبيض في الفساد والخمج والمخدرات بربي زوالي على أقل حاجة يخزز في الحبس ويزيد يخرج محقور وانت جايب وحده مشدودة عل الكوكايين وتنظفلها في صورتها ولا يزي تربطت شهر كاهو، على أساس سيادتك توزع في صكوك الغفران  علاش خاطرها bombée بالبوطوكس هكا قاعد تهدم في المجتمع على الأشكال هاذي قاعد الامارات اطرد في التونسيات,neg
تي *** **** ****,neg
بدايتها بمكتوب,neg
بربي يزي متافاهات,neg
بالله أوقفوا الفضايح في قناة الحمار التونسي ركم عملتو العار,neg
ههههه حلقة على القياس باش يطلع بشرى ترموس في دور الضحية...نتحداك يا فهري تقول كيفاه سرق حكة تن كلاها جيعان في المغازة يضرب عام حبس و هذي تشم الكوكايين تشد 3 أشهر فقط,neg
اه يا ناكر العشرى والخير مع الرجال . كون جيت راجل راااك وقفت مع زميلك وصديقك سمير الوافي . لم تستطيع حتى القيام بفازة تاع نخوة وتوقف حتى مع عائلته وخاصة امه  التي تعتبرك ابنها وترفع من معناويتها في هذه اللحضات بالذات . اما انت بنت على حقيقتك تاااااع انثى . تفووووووه عليك وعلى برنامجك يوم الاحد ما يهمك في حد. وبرنامجك حكايات تونسية . ويبقى برنامج سمير لمن يجرو فقط هو البرنامج الوحيد الذي لم تسطتع اي قناة تونسية تعوضو . لانه وببساطة كان ناجح باتم المعنى ....!,neg
والله اليوم ضاهر فيها دسمة جدا موض.ع بناء المرجع الفني اسافر  شفتو علاش بسبو في انساسا خاطر عندنا اعلام كيما هذا   مايعديو كان الزبلة الزح كان تقوم علية من القبر اش تقول,neg
Sami semahni rak tayaht kadrek m3a barcha chlyek normallement me ychewhounech les medias.keyeni ntfarj fi mornegeya wela 9 avril lmjerma welklocharat lkol jebthom.,neg
يكب سعدك يا سامي، يا حامي، الفاسدين والفاسدات يا، مخرب المجتمع ما تقليش دفعتلها الفلوس باش، خرجت وزيد، جايبها في التلفزة حسبنا الله فيك,neg
السافل سامي الفهري صاحب قناة العار و المسخرة موش عجب كيف يستضيف هالاشكال الفاسدة و المنحطة و صعاليك المجتمع,neg
سطحي و تافه و زيد تسرق في افكار برامج اجنبية و تلبس فيها للشعب .. صحة ليك..  عيش يا بلارج,neg
هذا الكائن المدعو بالفهري  كيف  ربى بناته .  نفس النهج الذي يفعله مع بناتنا و مجتمعنا. ام أن المجتمع التونسي إلى الجحيم و بناته إلى النعيم.,neg
Hhhh testahlk wt5roi wtzid tji tmed manderha lfesed la 5ir la feha weli bech yetfarej feha,neg
غلطة عمري إلي أنا نتفرج عليكم!,neg
"تحسها قناة الحوار تهبط في حاجات كيما هكا  بالعاني باش يتسبو  ، حب للبخص ،، "" بتموتوا في الشتيمة "" ٠ عايشين بيها ..",neg
حثاله لا تستحق الانتباه لا كلو و تاكيد  الفهري و تكرار للسؤال انه لا علاقة لاستهلاكها للمخدرات  بالفهري هههههه تفاهه لاكتاف تفعل في بلاد غارقه في الفساد و السرقه.... كاذبه تمد في وجهه... مزال عندها عين و تتكل و كلو والروبرتاج مقزز.... من اجل الحصول عالمال يفعلو كل شي,neg
La 5ir fi Sami ili mistad3iha la 5ir fiha wala la ti7chim tihiya 7ata isim sa7ibha wa7do mochikla,neg
Qui se semble se ressemble y'a médias de la honte normalement tu est en prison comme escroc Samir wafi,neg
9a3ed tekhser fi nesbet mochehda kbira Ya siiiiiiiii samsoum.min jibanek fi hal manadher 3amlelhom som3a w 9dar,neg
حلقة مفبركة باش يخرجها كالشعرة من العجين ..,neg
لك يوم ايها كلب,neg
عملية تبييض قبل اولاد مفيدة,neg
كب سعدك سديا سامي.,neg
***رجال يعلم بيهم ربي و سامي *** جايب,neg
malqit chkoun tjib,neg
Madem m3aha semi labes hhhhhhhhhh,neg
الراعي الرسمي للفساد ولد الفهري,neg
Mela menether hmd matferjtech fiha,neg
Dhahir m5arejha sami fehri 9owet flous,neg
ومادك وجهك يا سامي تتصور معاه. quelle fierté,neg
Semi rabi yehdik se3ate eda5alha fi 7ite,neg
ملا رقعة و ملا وسخ و ملا سحت عين علها الحق موش فيك في ألي جابك للتلفزة,neg
mala fdayh fikom ya  tounisia,neg
بدون تعليق وين وصلنا وين تهز فينا للدرجة هذه,neg
chnya fama satar ma3koum hhhhhhh mala tounise,neg
تفوووووه,neg
ههه,neg
سامي ولد علاء احشم على روحك باش يجيك نهار يا سامي ولد لطفي,neg
اصلا الحصة هذه بصراحة شوهت البرامج التونسية بزاف,neg
tfouh 3lik wa3lih,neg
كل شيء امفبرك يا. ........تيت,neg
Tfouh 3likom,neg
Hhhhhh Mezl Eci l9dm,neg
Hiya **** w cami 5amj,neg
شي إحشم والله مهوش عادي مقواه بب بب بب بب بب بب بب بب…,neg
بدون تعلييييييييييييييييييييييييييييييييق,neg
مذيع تافه جدا يعرف غير معناها معناها يقلق,neg
 الشباب التوانسا عندهم دكتورا ومتريس مالقاوش خدمة وانت اسامي الفهري جايب امريكي امسخ اتخدم فيه,neg
Avec toutes mes respects  explique nous c'est quoi l'intérêt de cette émission,neg
مذيع فاشل,neg
بلاطو مفيهش وحدة متحجبة عجب هذوما مسلمين!!!!?,neg
"Franchement les sujets que vous posez dernierement mastin, badlou chwaya w jiboulna 7ajet a9wa fiha chwaya drama w chwaya suspense Sami",neg
"Sami with Mounir you have missed a very interesting point that is a plus for Tunisia! The point is that the Tunisians are very open , sociable and very welcoming!",neg
المخرج فاشل لغويا ولا يعرف قواعد رسم الهمزة حيث كتب [امهات فقدن ابنائهن ] والأصح ‘ابناءهن﻿ ,neg
 شوف مواضيع أخرى  نحسو متع فدة الموضوع هذا أحكي على موضوع  الزوجة الثانية في تونس فم شكون معرس عرفي  على مرتو و جايب صغار و مستقر  أحكي على الاكتئاب و كفاه ما نفيقوش بيه و ما نجموش نتعاملو معاه بنضج في مجتمعنا أحكي على الجهويات  و المعاناة في الزواج و الخدمة و مع الصغار و وقت تنقل تعيش في جهة أخرى أحكي  على الشعوذة و علم النفس و علاقاتهم ببعضهم أحكي على الدين و على الأفكار المتشددة و المتسامحة أحكي  على الأبراج شوف موضوع  يجبد الناس و ربي معاكم﻿ ,neg
عنوان الحلقه زباله ازبل موضوع في حكايات تونسيه,neg
sami rak fadatni   5ali  asada et le dr fasrou ma3adch tou9s 3alahom  mouch ma39oul,neg
Sami fahri fashil fi idarit el7iwar kan 3atah. Li alaa shabi 5ir ,neg
"ya sami ya wild el fehri raja3 vidéo épisode 3 du 12/12/2016 partie 3 elli fiha 1:14:12 s w sayeb alik enti tmout ala elfdayeh fi assrar el famille tunisien  , 9a3ed tale3eb bi ennar w lahi tsamser bil hkayet tounisia elli yadfa3 tfasakhlou vidéo mta3ou , rahna chal9ine bik!!!!?",neg
كارثة تونسي﻿,neg
"bellehi mathamech wa7ed borjwazi ygoul : "" sami ena fin tawa ! "" walla ygoul : ""sami saker lbarnamej !""﻿",neg
mamstou hal barnaej,neg
"l'animateur parle trop , plus que ses invités; c'est pas normal﻿ ",neg
Semi berjoulia yesser jaltam ched lsenek chwaya ,neg
 المقدم غبي يقول ماتتمنكيوش على السمان وماتفذلكوش وهو يتمنيك ملا حكايه﻿,neg
an barnemej yi3ayef mayitabe9ech 3ala wade3 tounes el manayka 3alalekher,neg
ye sami rak 💩💩💩﻿ ,neg
barnemej i3ayef vraiment l bereh owel marra na7chem eli ena tounseya,neg
